X,Sin(x),cos(x)
100,0,1
100.1,0.099833417,0.995004165
100.2,0.198669331,0.980066578
100.3,0.295520207,0.955336489
100.4,0.389418342,0.921060994
100.5,0.479425539,0.877582562
100.6,0.564642473,0.825335615
100.7,0.644217687,0.764842187
100.8,0.717356091,0.696706709
100.9,0.78332691,0.621609968
101,0.841470985,0.540302306
101.1,0.89120736,0.453596121
101.2,0.932039086,0.362357754
101.3,0.963558185,0.267498829
101.4,0.98544973,0.169967143
101.5,0.997494987,0.070737202
101.6,0.999573603,-0.029199522
101.7,0.99166481,-0.128844494
101.8,0.973847631,-0.227202095
101.9,0.946300088,-0.323289567
102,0.909297427,-0.416146837
102.1,0.863209367,-0.504846105
102.2,0.808496404,-0.588501117
102.3,0.745705212,-0.666276021
102.4,0.675463181,-0.737393716
102.5,0.598472144,-0.801143616
102.6,0.515501372,-0.856888753
102.7,0.42737988,-0.904072142
102.8,0.33498815,-0.942222341
102.9,0.239249329,-0.970958165
103,0.141120008,-0.989992497
103.1,0.041580662,-0.99913515
103.2,-0.058374143,-0.998294776
103.3,-0.157745694,-0.98747977
103.4,-0.255541102,-0.966798193
103.5,-0.350783228,-0.936456687
103.6,-0.442520443,-0.896758416
103.7,-0.529836141,-0.848100032
103.8,-0.611857891,-0.790967712
103.9,-0.687766159,-0.725932304
104,-0.756802495,-0.653643621
104.1,-0.818277111,-0.574823947
104.2,-0.871575772,-0.490260821
104.3,-0.916165937,-0.400799172
104.4,-0.951602074,-0.30733287
104.5,-0.977530118,-0.210795799
104.6,-0.993691004,-0.112152527
104.7,-0.999923258,-0.012388663
104.8,-0.996164609,0.087498983
104.9,-0.982452613,0.186512369
105,-0.958924275,0.283662185
105.1,-0.925814682,0.377977743
105.2,-0.883454656,0.468516671
105.3,-0.832267442,0.554374336
105.4,-0.772764488,0.634692876
105.5,-0.705540326,0.708669774
105.6,-0.631266638,0.775565879
105.7,-0.550685543,0.834712785
105.8,-0.464602179,0.885519517
105.9,-0.373876665,0.927478431
106,-0.279415498,0.960170287
106.1,-0.182162504,0.983268438
106.2,-0.083089403,0.996542097
106.3,0.0168139,0.999858636
106.4,0.116549205,0.993184919
106.5,0.215119988,0.976587626
106.6,0.311541364,0.950232592
106.7,0.404849921,0.914383148
106.8,0.494113351,0.86939749
106.9,0.578439764,0.8157251
107,0.656986599,0.753902254
107.1,0.72896904,0.684546666
107.2,0.793667864,0.608351315
107.3,0.850436621,0.526077517
107.4,0.898708096,0.438547328
107.5,0.937999977,0.346635318
107.6,0.967919672,0.251259843
107.7,0.988168234,0.153373862
107.8,0.998543345,0.053955421
107.9,0.998941342,-0.046002126
108,0.989358247,-0.145500034
108.1,0.969889811,-0.243544154
108.2,0.940730557,-0.339154861
108.3,0.902171834,-0.431376845
108.4,0.854598908,-0.519288654
108.5,0.798487113,-0.602011903
108.6,0.734397098,-0.678720047
108.7,0.66296923,-0.748646646
108.8,0.584917193,-0.811093014
108.9,0.501020856,-0.865435209
109,0.412118485,-0.911130262
109.1,0.319098362,-0.947721602
109.2,0.222889914,-0.974843621
109.3,0.124454424,-0.992225325
109.4,0.024775425,-0.999693042
109.5,-0.07515112,-0.997172156
109.6,-0.174326781,-0.984687856
109.7,-0.271760626,-0.96236488
109.8,-0.366479129,-0.930426272
109.9,-0.457535894,-0.889191153
110,-0.544021111,-0.839071529
110.1,-0.625070649,-0.78056818
110.2,-0.699874688,-0.714265652
110.3,-0.76768581,-0.640826418
110.4,-0.827826469,-0.560984257
110.5,-0.87969576,-0.475536928
110.6,-0.922775422,-0.385338191
110.7,-0.956635016,-0.291289282
110.8,-0.98093623,-0.194329906
110.9,-0.995436253,-0.095428851
111,-0.999990207,0.004425698
111.1,-0.994552588,0.104236027
111.2,-0.979177729,0.203004864
111.3,-0.95401925,0.299745343
111.4,-0.919328526,0.393490866
111.5,-0.875452175,0.483304759
111.6,-0.822828595,0.56828963
111.7,-0.761983584,0.647596339
111.8,-0.693525085,0.720432479
111.9,-0.618137112,0.786070296
112,-0.536572918,0.843853959
112.1,-0.449647465,0.893206112
112.2,-0.358229282,0.933633644
112.3,-0.263231791,0.964732618
112.4,-0.165604175,0.986192302
112.5,-0.066321897,0.997798279
112.6,0.033623047,0.999434586
112.7,0.133232041,0.991084872
112.8,0.231509825,0.972832566
112.9,0.327474439,0.944860038
113,0.420167037,0.907446781
113.1,0.508661464,0.860966616
113.2,0.592073515,0.805883958
113.3,0.669569762,0.742749173
113.4,0.74037589,0.672193084
113.5,0.803784427,0.594920663
113.6,0.859161815,0.511703992
113.7,0.905954742,0.423374544
113.8,0.943695669,0.330814878
113.9,0.972007501,0.234949819
114,0.990607356,0.136737218
114.1,0.999309389,0.037158385
114.2,0.998026653,-0.062791723
114.3,0.986771964,-0.162114436
114.4,0.965657777,-0.259817356
114.5,0.934895056,-0.354924267
114.6,0.894791172,-0.446484891
114.7,0.845746831,-0.533584387
114.8,0.788252067,-0.615352483
114.9,0.72288135,-0.690972181
115,0.65028784,-0.759687913
115.1,0.57119687,-0.820813094
